created_at,reposts_count,comments_count,attitudes_count
2015-02-01,21,156,221
2015-02-02,25,119,207
2015-02-04,8,79,199
2015-02-05,28,183,293
2015-02-06,17,106,228
2015-02-07,15,165,247
2015-02-09,12,127,207
2015-02-10,8,119,198
2015-02-11,11,54,213
2015-02-14,8,85,235
2015-02-26,8,51,185
2015-03-01,12,120,192
2015-03-03,7,126,231
2015-03-08,14,117,223
2015-03-12,6,132,223
2015-03-17,12,175,288
2015-03-29,5,64,253
2015-03-31,12,133,279
2015-04-01,13,94,184
2015-04-01,5,141,309
2015-04-02,8,106,273
2015-04-03,11,96,292
2015-04-07,21,146,329
2015-04-20,20,170,332
2015-04-21,12,153,332
2015-04-21,16,160,348
2015-04-24,18,138,343
2015-04-25,13,92,318
2015-04-27,10,90,293
2015-04-29,14,134,353
2015-05-03,10,115,369
2015-05-04,15,165,368
2015-05-04,34,140,324
2015-05-07,19,179,387
2015-05-08,9,96,145
2015-05-08,45,258,542
2015-05-17,7,105,294
2015-05-18,9,128,357
2015-05-19,15,183,336
2015-05-20,16,110,204
2015-05-20,17,123,332
2015-05-21,20,145,351
2015-05-21,8,167,333
2015-05-23,11,129,376
2015-05-23,9,100,337
2015-05-24,8,147,329
2015-05-25,11,143,320
2015-05-26,32,152,319
2015-05-27,16,163,381
2015-05-29,8,130,348
2015-05-30,7,115,356
2015-06-01,6,122,214
2015-06-02,12,147,313
2015-06-03,7,137,358
2015-06-03,12,191,343
2015-06-06,11,157,401
2015-06-08,17,176,438
2015-06-10,12,184,405
2015-06-12,22,240,464
2015-06-15,9,156,392
2015-06-20,45,173,570
2015-06-20,15,161,412
2015-06-23,13,225,513
2015-06-25,18,214,474
2015-06-26,17,170,413
2015-06-28,23,347,509
2015-07-03,14,195,449
2015-07-05,12,175,449
2015-07-06,14,155,468
2015-07-08,13,153,422
2015-07-11,9,190,459
2015-07-14,19,202,546
2015-07-16,15,146,467
2015-07-26,26,97,532
2015-07-27,50,266,723
2015-08-01,17,168,471
2015-08-07,24,201,539
2015-08-09,31,152,716
2015-08-11,30,205,935
2015-08-13,34,136,475
2015-08-14,18,143,436
2015-08-15,25,204,582
2015-08-17,21,183,529
2015-08-20,13,71,439
2015-08-21,30,82,457
2015-08-23,14,157,515
2015-08-24,23,148,635
2015-08-25,49,233,604
2015-08-29,26,189,552
2015-09-01,17,154,563
2015-09-05,28,110,532
2015-09-07,26,124,592
2015-09-10,14,97,252
2015-09-13,11,93,421
2015-09-16,8,182,484
2015-09-20,32,141,523
2015-09-20,5,84,380
2015-09-21,25,123,616
2015-09-25,18,133,431
2015-09-26,22,113,554
2015-09-27,26,148,546
2015-09-27,13,241,428
2015-09-29,20,160,474
2015-10-03,37,193,683
2015-10-06,40,149,800
2015-10-07,14,153,538
2015-10-10,16,118,513
2015-10-12,39,93,536
2015-10-12,14,74,389
2015-10-16,28,76,540
2015-10-19,15,115,364
2015-10-20,27,137,456
2015-10-25,56,115,245
2015-11-01,18,104,507
2015-11-08,52,234,457
2015-11-12,92,194,688
2015-11-20,35,137,655
2015-11-22,15,179,451
2015-11-28,45,135,518
2015-11-28,72,346,830
2015-12-01,125,273,715
2015-12-07,22,153,557
2015-12-07,40,232,592
2015-12-08,28,207,635
2015-12-11,27,234,854
2015-12-13,19,141,603
2015-12-17,21,168,535
2015-12-23,12,150,624
2015-12-24,54,182,691
2015-12-25,30,227,678
2015-12-27,16,100,465
2015-12-28,16,149,458
2015-12-29,16,190,536
2015-12-30,11,144,603
2015-12-31,35,203,745
2016-01-01,26,130,542
